candidate_id,distance,decoder_id,p,ler,status,manifest_path
rotated-surface-d3-example,3,rmatching-default-v1,0.008,0.107032002569,keep,candidates/rotated-surface-d3-example/evaluations/rotated-memory-z-cdep-v1/rmatching-default-v1/manifest.json
rotated-surface-d5-example,5,rmatching-default-v1,0.008,0.140291806958,keep,candidates/rotated-surface-d5-example/evaluations/rotated-memory-z-cdep-v1/rmatching-default-v1/manifest.json
rotated-surface-d7-example,7,rmatching-default-v1,0.008,0.159286396942,keep,candidates/rotated-surface-d7-example/evaluations/rotated-memory-z-cdep-v1/rmatching-default-v1/manifest.json
